"","YearDecimal","Latitude30value","Latitude30uncertainty","Latitude33value","Latitude33uncertainty","Latitude37value","Latitude37uncertainty","Latitude41value","Latitude41uncertainty","Latitude44value","Latitude44uncertainty","Latitude49value","Latitude49uncertainty","Latitude53value","Latitude53uncertainty","Latitude58value","Latitude58uncertainty","Latitude64value","Latitude64uncertainty","Latitude72value","Latitude72uncertainty","Latitude90value","Latitude90uncertainty"
"515",1989.708333,349.447,0.471,349.034,0.468,348.504,0.429,347.918,0.357,347.35,0.268,346.861,0.178,346.482,0.115,346.217,0.103,346.05,0.132,345.956,0.165,345.9,0.189
"516",1989.729167,349.97,0.404,349.753,0.422,349.439,0.422,349.072,0.4,348.698,0.363,348.348,0.316,348.031,0.258,347.755,0.198,347.527,0.147,347.35,0.124,347.214,0.13
"517",1989.75,350.557,0.353,350.524,0.394,350.416,0.438,350.26,0.475,350.077,0.494,349.866,0.476,349.619,0.416,349.344,0.321,349.069,0.212,348.823,0.121,348.621,0.089
"518",1989.770833,351.209,0.321,351.325,0.381,351.385,0.463,351.405,0.549,351.387,0.607,351.301,0.61,351.125,0.544,350.867,0.422,350.565,0.278,350.271,0.148,350.021,0.091
"519",1989.791667,351.797,0.31,352.037,0.382,352.24,0.486,352.416,0.601,352.544,0.684,352.576,0.698,352.476,0.628,352.249,0.491,351.945,0.325,351.631,0.178,351.358,0.121
"520",1989.8125,352.357,0.31,352.677,0.384,352.979,0.494,353.265,0.618,353.505,0.71,353.638,0.73,353.617,0.66,353.444,0.518,353.173,0.345,352.876,0.196,352.612,0.143
"521",1989.833333,352.882,0.314,353.239,0.381,353.594,0.481,353.946,0.595,354.262,0.682,354.477,0.702,354.54,0.635,354.448,0.498,354.247,0.332,354.008,0.193,353.789,0.147
"522",1989.854167,353.411,0.322,353.768,0.378,354.126,0.453,354.492,0.542,354.841,0.611,355.116,0.623,355.265,0.561,355.276,0.439,355.184,0.292,355.042,0.169,354.903,0.13
"523",1989.875,353.927,0.327,354.259,0.372,354.587,0.422,354.932,0.476,355.286,0.518,355.605,0.517,355.84,0.46,355.971,0.356,356.013,0.236,355.998,0.141,355.963,0.114
"524",1989.895833,354.423,0.325,354.719,0.363,355.002,0.394,355.309,0.422,355.653,0.439,356.005,0.426,356.323,0.372,356.577,0.286,356.761,0.196,356.883,0.141,356.961,0.14
